Mes;Precio interno;;;;;;;;;;;;;;;
feb-75;2.500;;;;;;;;;;;;;;;
mar-75;2.500;;;;;;;;;;;;;;;
abr-75;2.435;;;;;;;;;;;;;;;
may-75;2.350;;;;;;;;;;;;;;;
jun-75;2.350;;;;;;;;;;;;;;;
jul-75;2.560;;;;;;;;;;;;;;;
ago-75;3.000;;;;;;;;;;;;;;;
sep-75;3.000;;;;;;;;;;;;;;;
oct-75;3.065;;;;;;;;;;;;;;;
nov-75;3.250;;;;;;;;;;;;;;;
dic-75;3.250;;;;;;;;;;;;;;;
ene-76;3.497;;;;;;;;;;;;;;;
feb-76;3.845;;;;;;;;;;;;;;;
mar-76;4.120;;;;;;;;;;;;;;;
abr-76;4.495;;;;;;;;;;;;;;;
may-76;4.495;;;;;;;;;;;;;;;
jun-76;6.078;;;;;;;;;;;;;;;
jul-76;6.560;;;;;;;;;;;;;;;
ago-76;6.560;;;;;;;;;;;;;;;
sep-76;6.560;;;;;;;;;;;;;;;
oct-76;6.560;;;;;;;;;;;;;;;
nov-76;6.619;;;;;;;;;;;;;;;
dic-76;7.000;;;;;;;;;;;;;;;
ene-77;7.000;;;;;;;;;;;;;;;
feb-77;7.000;;;;;;;;;;;;;;;
mar-77;7.000;;;;;;;;;;;;;;;
abr-77;7.000;;;;;;;;;;;;;;;
may-77;7.048;;;;;;;;;;;;;;;
jun-77;7.300;;;;;;;;;;;;;;;
jul-77;7.300;;;;;;;;;;;;;;;
ago-77;7.300;;;;;;;;;;;;;;;
sep-77;7.300;;;;;;;;;;;;;;;
oct-77;7.300;;;;;;;;;;;;;;;
nov-77;7.300;;;;;;;;;;;;;;;
dic-77;7.300;;;;;;;;;;;;;;;
ene-78;7.300;;;;;;;;;;;;;;;
feb-78;7.300;;;;;;;;;;;;;;;
mar-78;7.300;;;;;;;;;;;;;;;
abr-78;7.300;;;;;;;;;;;;;;;
may-78;7.300;;;;;;;;;;;;;;;
jun-78;7.300;;;;;;;;;;;;;;;
jul-78;7.300;;;;;;;;;;;;;;;
ago-78;7.300;;;;;;;;;;;;;;;
sep-78;7.300;;;;;;;;;;;;;;;
oct-78;7.300;;;;;;;;;;;;;;;
nov-78;7.300;;;;;;;;;;;;;;;
dic-78;7.300;;;;;;;;;;;;;;;
ene-79;7.300;;;;;;;;;;;;;;;
feb-79;7.236;;;;;;;;;;;;;;;
mar-79;6.400;;;;;;;;;;;;;;;
abr-79;6.400;;;;;;;;;;;;;;;
may-79;6.574;;;;;;;;;;;;;;;
jun-79;6.947;;;;;;;;;;;;;;;
jul-79;7.143;;;;;;;;;;;;;;;
ago-79;7.340;;;;;;;;;;;;;;;
sep-79;7.713;;;;;;;;;;;;;;;
oct-79;7.900;;;;;;;;;;;;;;;
nov-79;8.067;;;;;;;;;;;;;;;
dic-79;8.216;;;;;;;;;;;;;;;
ene-80;8.300;;;;;;;;;;;;;;;
feb-80;8.300;;;;;;;;;;;;;;;
mar-80;8.356;;;;;;;;;;;;;;;
abr-80;8.733;;;;;;;;;;;;;;;
may-80;8.733;;;;;;;;;;;;;;;
jun-80;8.733;;;;;;;;;;;;;;;
jul-80;8.733;;;;;;;;;;;;;;;
ago-80;8.733;;;;;;;;;;;;;;;
sep-80;8.733;;;;;;;;;;;;;;;
oct-80;8.733;;;;;;;;;;;;;;;
nov-80;8.733;;;;;;;;;;;;;;;
dic-80;9.140;;;;;;;;;;;;;;;
ene-81;9.200;;;;;;;;;;;;;;;
feb-81;9.200;;;;;;;;;;;;;;;
